Decile,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS
1,0.8456110501151232,1.0,285,0,13.90%,0.00%,13.90%,0.00%,13.900000000000002
2,0.7955518615662542,0.8453015446606537,284,0,13.85%,0.00%,27.74%,0.00%,27.700000000000003
3,0.7631776876839921,0.7955337896771045,284,0,13.85%,0.00%,41.59%,0.00%,41.6
4,0.7385360762946541,0.7630682946580193,285,0,13.90%,0.00%,55.49%,0.00%,55.50000000000001
5,0.7080507274807959,0.7383927468837106,284,0,13.85%,0.00%,69.33%,0.00%,69.3
6,0.6803043765302538,0.7080435057247328,284,0,13.85%,0.00%,83.18%,0.00%,83.2
7,0.6543635367899205,0.6802790795610258,285,0,13.90%,0.00%,97.07%,0.00%,97.1
8,0.6258695655461265,0.6542625665121272,60,224,2.93%,28.25%,100.00%,28.25%,71.8
9,0.5762451829106251,0.6258530529287315,0,284,0.00%,35.81%,100.00%,64.06%,35.9
10,1.0846612133870807e-13,0.5760725426889151,0,285,0.00%,35.94%,100.00%,100.00%,-0.0
